Erros quadraticos:
Epoca;Treinamento;Validacao,Teste
1;0.09513310108628453;0.09305343092129327;0.0927068435813627
2;0.09664820222426837;0.09195924277276109;0.0916131902184287
3;0.09738672698604214;0.09033182639603157;0.09005235491070522
4;0.09489027198551299;0.08597136791845272;0.08588076747078766
5;0.08803878603037323;0.0783378752291926;0.078666516516205
6;0.0779076875595566;0.06893429012376583;0.06995378283355319
7;0.0673246421959948;0.059780502657871375;0.06135459142490209
8;0.05802613414435829;0.051819319616758945;0.05348040567032156
9;0.05036323945649233;0.045021128717801194;0.04649162614518052
10;0.04444252686907833;0.03964478883297988;0.040873786466846744
11;0.03993931059664208;0.03564052067524896;0.036653036170857495
12;0.03645698924001342;0.032692702017523646;0.033538658816286045
13;0.03373445093333385;0.030479442512620934;0.031209266896823233
14;0.03155079740833244;0.02874722557162834;0.029398867976058517
15;0.02971945859892885;0.02731949015690258;0.027918372795403663
16;0.028114706644511378;0.02608289404078834;0.026646635236943272
17;0.026665010045265714;0.02497272060514728;0.025515195587898443
18;0.025337694432953955;0.02396190952897794;0.024494742005810987
19;0.024124800970876388;0.02304831162737647;0.023580064947365954
20;0.023029120952636938;0.022238835385258955;0.022773576464911478
21;0.022052605891394596;0.02153677186701609;0.022073579760387572
22;0.021190965467079496;0.020937385858420015;0.021471183559169615
23;0.020434321258243855;0.020429802742663913;0.02095302297339258
24;0.019770180438119005;0.020000555296711037;0.020504931876679754
25;0.019185866488142966;0.019636222565145984;0.02011418371880653
26;0.018669769700119614;0.01932477930371065;0.019770254305048956
27;0.01821176686040422;0.01905605970686244;0.019464766188522307
28;0.01780322509777409;0.018821755329998014;0.01919113562571739
29;0.017436847261655217;0.018615211875188206;0.01894418210098378
30;0.017106482559560755;0.018431163377178896;0.018719794441448362
31;0.016806949261328516;0.01826546862341707;0.018514671511955957
32;0.016533881115521055;0.01811487677862529;0.018326128562838117
33;0.016283596872119943;0.017976830868604764;0.018151954509804964
34;0.016052989723289546;0.01784930916536374;0.017990306876743065
35;0.01583943376557298;0.01773070063176709;0.01783963413824093
36;0.0156407052006337;0.017619709096588804;0.01769861790682268
37;0.015454916346743565;0.017515280615957755;0.01756612946875529
38;0.015280460692739688;0.01741654892833376;0.017441196677021695
39;0.015115967338003895;0.01732279466430868;0.01732297831498328
40;0.014960263301992722;0.017233414807586507;0.01721074386408367
41;0.014812342362487747;0.01714789969188106;0.01710385721658588
42;0.01467133927214074;0.01706581549722231;0.017001763317828864
43;0.014536508386523067;0.016986790757195506;0.01690397703780098
44;0.014407205901037872;0.016910505809654166;0.01681007378886688
45;0.014282875034145139;0.016836684433910912;0.01671968155087128
46;0.014163033610787877;0.016765087138608407;0.016632474057964135
47;0.01404726359560562;0.016695505717715414;0.01654816496029715
48;0.013935202204500792;0.016627758796131074;0.016466502810867006
49;0.013826534289663019;0.016561688156355045;0.01638726675203479
50;0.01372098575111989;0.01649715568504823;0.016310262793371444
51;0.01361831778011275;0.01643404081126729;0.01623532058592247
52;0.013518321787468403;0.016372238332312446;0.016162290609687824
53;0.013420814913416233;0.01631165654214099;0.01609104170206868
54;0.013325636052407103;0.016252215593436876;0.016021458865715883
55;0.013232642355206417;0.01619384603897124;0.015953441304814735
56;0.013141706188958279;0.01613648751141043;0.015886900649362354
57;0.01305271254339671;0.016080087513282455;0.015821759337275636
58;0.012965556869044936;0.016024600300091573;0.015757949133870002
59;0.012880143323934487;0.015969985849071115;0.015695409776884297
60;0.012796383392962447;0.015916208913270467;0.015634087742245503
61;0.012714194832377334;0.01586323816521621;0.015573935130680375
62;0.012633500884009954;0.01581104543621051;0.015514908677828846
63;0.0125542297012382;0.015759605056701504;0.015456968890732085
64;0.012476313931282993;0.015708893300663853;0.015400079311828931
65;0.012399690405145321;0.01565888793332564;0.015344205908519735
66;0.012324299895635332;0.0156095678576614;0.015289316582682778
67;0.012250086913831693;0.015560912851523192;0.015235380790964467
68;0.01217699952361108;0.015512903384569253;0.015182369263755971
69;0.012104989161767759;0.015465520502511003;0.015130253808852552
70;0.012034010457341735;0.015418745765641907;0.015079007184966483
71;0.011964021048090372;0.015372561228994922;0.015028603030453558
72;0.01189498139479382;0.015326949452560539;0.014979015833612292
73;0.01182685459560156;0.015281893531526244;0.014930220932470097
74;0.01175960620323963;0.015237377138225778;0.014882194533821681
75;0.01169320404790578;0.015193384569224769;0.014834913743217418
76;0.01162761806832308;0.01514990079257712;0.014788356599441123
77;0.011562820152880925;0.015106911491689311;0.01474250210866773
78;0.011498783992190082;0.01506440310338797;0.014697330274888716
79;0.011435484943795036;0.015022362848701204;0.01465282212432497
80;0.011372899909268026;0.014980778755556973;0.014608959722425477
81;0.011311007223477634;0.014939639673102146;0.014565726182702396
82;0.011249786555486108;0.014898935277692744;0.014523105667119573
83;0.01118921882028123;0.014858656070833488;0.014481083378070263
84;0.011129286100380371;0.014818793369485897;0.014439645542187534
85;0.011069971576245723;0.014779339289244173;0.014398779386359951
86;0.011011259464407596;0.014740286720919768;0.014358473106401972
87;0.010953134962195866;0.014701629301093078;0.014318715828872737
88;0.010895584198016709;0.014663361377196095;0.014279497566564051
89;0.010838594186174456;0.014625477967690812;0.014240809168198343
90;0.010782152785317727;0.014587974717907798;0.014202642262895767
91;0.010726248659679591;0.014550847852111092;0.014164989199990752
92;0.010670871242377304;0.014514094122361373;0.014127842984804437
93;0.010616010700134884;0.014477710754754196;0.014091197211005794
94;0.010561657898887739;0.014441695393621527;0.014055045990227975
95;0.010507804369820987;0.014406046044291595;0.014019383879635371
